Time,X_Index,Y_Index,Concentration
0.12600,25,36,0.57647
0.12600,25,37,0.60406
0.12600,25,38,0.63221
0.12600,25,39,0.66089
0.12600,25,40,0.69006
0.12600,25,41,0.71970
0.12600,25,42,0.74975
0.12600,25,43,0.78018
0.12600,25,44,0.81095
0.12600,25,45,0.84201
0.12600,25,46,0.87331
0.12600,25,47,0.90481
0.12600,25,48,0.93646
0.12600,25,49,0.96820
0.12600,25,50,1.00000
0.13500,25,0,0.00000
0.13500,25,1,0.00965
0.13500,25,2,0.01934
0.13500,25,3,0.02911
0.13500,25,4,0.03899
0.13500,25,5,0.04902
0.13500,25,6,0.05925
0.13500,25,7,0.06970
0.13500,25,8,0.08042
0.13500,25,9,0.09143
0.13500,25,10,0.10278
0.13500,25,11,0.11449
0.13500,25,12,0.12661
0.13500,25,13,0.13915
0.13500,25,14,0.15215
0.13500,25,15,0.16564
0.13500,25,16,0.17964
0.13500,25,17,0.19418
0.13500,25,18,0.20928
0.13500,25,19,0.22495
0.13500,25,20,0.24123
0.13500,25,21,0.25813
0.13500,25,22,0.27565
0.13500,25,23,0.29382
0.13500,25,24,0.31264
0.13500,25,25,0.33211
0.13500,25,26,0.35225
0.13500,25,27,0.37306
0.13500,25,28,0.39452
0.13500,25,29,0.41665
0.13500,25,30,0.43943
0.13500,25,31,0.46285
0.13500,25,32,0.48691
0.13500,25,33,0.51158
0.13500,25,34,0.53686
0.13500,25,35,0.56271
0.13500,25,36,0.58913
0.13500,25,37,0.61608
0.13500,25,38,0.64354
0.13500,25,39,0.67147
0.13500,25,40,0.69986
0.13500,25,41,0.72865
0.13500,25,42,0.75782
0.13500,25,43,0.78733
0.13500,25,44,0.81714
0.13500,25,45,0.84722
0.13500,25,46,0.87751
0.13500,25,47,0.90797
0.13500,25,48,0.93858
0.13500,25,49,0.96927
0.13500,25,50,1.00000
0.14400,25,0,0.00000
0.14400,25,1,0.01049
0.14400,25,2,0.02101
0.14400,25,3,0.03161
0.14400,25,4,0.04232
0.14400,25,5,0.05316
0.14400,25,6,0.06419
0.14400,25,7,0.07542
0.14400,25,8,0.08690
0.14400,25,9,0.09866
0.14400,25,10,0.11073
0.14400,25,11,0.12314
0.14400,25,12,0.13592
0.14400,25,13,0.14909
0.14400,25,14,0.16269
0.14400,25,15,0.17675
0.14400,25,16,0.19127
0.14400,25,17,0.20629
0.14400,25,18,0.22183
0.14400,25,19,0.23791
0.14400,25,20,0.25454
0.14400,25,21,0.27173
0.14400,25,22,0.28950
0.14400,25,23,0.30786
0.14400,25,24,0.32682
0.14400,25,25,0.34638
0.14400,25,26,0.36655
0.14400,25,27,0.38733
0.14400,25,28,0.40871
0.14400,25,29,0.43069
0.14400,25,30,0.45327
0.14400,25,31,0.47643
